provision_year,country_name,country_pct
2024,Austria,0.02433929265448892
2019,China,0.0175
2022,China,0.11666666666666667
2024,China,0.05900213758258842
2019,Germany,0.035
2022,Germany,0.15151515151515152
2024,Germany,0.03767489312087058
2019,Israel,0.0025
2024,Israel,0.006157695297318306
2019,Japan,0.28
2022,Japan,0.09242424242424242
2024,Japan,0.26566750874465606
2024,Netherlands,0.10089146910221532
2024,Singapore,0.08278274387874077
2019,South Korea,0.025
2022,South Korea,0.1606060606060606
2024,South Korea,0.04261805285658764
2024,Sweden,0.00563544500582977
2019,United States,0.47
2022,United States,0.29545454545454547
2024,United States,0.3644578313253012
