country,field,disclosed_investment,estimated_investment
United States,Sports,1191,5631
United States,Consumer goods,14697,42048
United States,Computer Vision,21689,32489
United States,Speech Recognition,971,3534
United States,Community and Lifestyle,3489,15224
United States,Information Technology,112829,279760
United States,Privacy and Security,26342,62504
United States,Healthcare and Life Sciences,35001,83326
United States,All,716692,1177533
United States,Cyber Security,14307,36035
United States,Finance,40905,88547
United States,Professional services,31240,90312
United States,Real estate,5824,18982
United States,Telecommunications,2396,12892
United States,"Mobile, platforms & Internet services",71400,164367
United States,Robotics,8547,24463
Uruguay,All,31,138
Vietnam,Information Technology,83,101
Vietnam,Software,100,335
Vietnam,All,142,407
Vietnam,Data and analytics,100,332
Vietnam,General purpose,99,326
Vietnam,Real estate,81,83
Argentina,Telecommunications,0,344
Argentina,NLP,0,345
Argentina,"Military, public safety and government",0,0
Armenia,Hardware,0,0
Armenia,"Sales, retail, commerce, marketing",0,0
Armenia,Consumer goods,0,0
Armenia,Agriculture,0,0
Armenia,Biotechnology,0,2
Bahrain,Privacy and Security,0,0
Bahrain,Finance,0,4
Bahrain,Facial Recognition,0,0
Bahrain,Biotechnology,0,0
Bahrain,Information Technology,0,0
Bahrain,Professional services,0,194
Bahrain,Cyber Security,0,0
Bangladesh,Other,0,0
Bangladesh,Cyber Security,0,0
Bangladesh,Privacy and Security,0,0
Barbados,All,0,18
Barbados,Data and analytics,0,18
Barbados,Software,0,18
Belarus,Other,0,0
Belarus,"Mobile, platforms & Internet services",0,4
Belarus,Navigation and mapping,0,4
Belarus,Information Technology,0,2
Belgium,Simulation,0,1
Bosnia and Herzegovina,Agriculture,0,0
Bosnia and Herzegovina,Hardware,0,0
Bosnia and Herzegovina,Manufacturing,0,0
Chile,Sports,0,0
Costa Rica,"Sales, retail, commerce, marketing",0,0
Croatia,Media and Entertainment,0,167
Croatia,Consumer goods,0,0
Cyprus,Telecommunications,0,1
Denmark,Lending and Investments,0,20
Ecuador,General purpose,0,0
Ecuador,Data and analytics,0,0
Ecuador,Finance,0,0
Egypt,Speech Recognition,0,0
Estonia,NLP,0,5
Ethiopia,Healthcare and Life Sciences,0,0
Ethiopia,General purpose,0,0
Ethiopia,Data and analytics,0,0
Ethiopia,Software,0,0
Ethiopia,Community and Lifestyle,0,0
Ethiopia,All,0,0
Georgia,Other,0,1
Georgia,Healthcare and Life Sciences,0,2
Georgia,Finance,0,1
Greece,NLP,0,3
Greece,Biotechnology,0,0
Greece,Real estate,0,0
Greece,Other,0,50
Guatemala,Lending and Investments,0,5
Guatemala,"Mobile, platforms & Internet services",0,5
Guatemala,All,0,5
Guatemala,Finance,0,5
Iceland,Navigation and mapping,0,0
Indonesia,Robotics,0,220
Indonesia,Real estate,0,5
Iran,"Sales, retail, commerce, marketing",0,0
Iran,Professional services,0,0
Iran,NLP,0,0
Ireland,Facial Recognition,0,38
Jordan,Hardware,0,0
Jordan,Consumer goods,0,0
Jordan,Manufacturing,0,0
Kuwait,Information Technology,0,7
Latvia,Computer Vision,0,0
Latvia,Media and Entertainment,0,0
Latvia,NLP,0,0
Lebanon,Energy and natural resources,0,0
Lebanon,Lending and Investments,0,0
Lebanon,Information Technology,0,0
Lebanon,Transportation,0,0
Lithuania,Transportation,0,3
Luxembourg,Education,0,272
Luxembourg,Consumer goods,0,2
Luxembourg,Professional services,0,272
Madagascar,All,0,5
Madagascar,General purpose,0,5
Malaysia,Gaming,0,2
Malaysia,Facial Recognition,0,2
Malaysia,Energy and natural resources,0,17
Malaysia,Real estate,0,6
Malaysia,Navigation and mapping,0,2
Malta,Healthcare and Life Sciences,0,76
Mauritius,Other,0,50
Mexico,Cyber Security,0,20
Mexico,Telecommunications,0,24
Morocco,Manufacturing,0,0
Morocco,Finance,0,1
Morocco,Hardware,0,0
Morocco,"Mobile, platforms & Internet services",0,0
Morocco,Other,0,0
Netherlands,Gaming,0,378
Nigeria,Gaming,0,2
Nigeria,"Military, public safety and government",0,3
Nigeria,Manufacturing,0,3
Nigeria,Cyber Security,0,3
Oman,Information Technology,0,0
Oman,Professional services,0,0
Pakistan,Agriculture,0,0
Pakistan,Finance,0,2
Pakistan,Telecommunications,0,1
Paraguay,Community and Lifestyle,0,0
Paraguay,Sports,0,0
Paraguay,Healthcare and Life Sciences,0,0
Peru,Lending and Investments,0,0
Peru,Finance,0,1
Peru,Other,0,1
Peru,Energy and natural resources,0,0
Philippines,Transportation,0,4
Philippines,Community and Lifestyle,0,0
Philippines,Education,0,31
Philippines,Agriculture,0,22
Qatar,Healthcare and Life Sciences,0,2
Qatar,"Mobile, platforms & Internet services",0,0
Romania,Lending and Investments,0,1
Russia,Agriculture,0,0
Saudi Arabia,Telecommunications,0,2
Saudi Arabia,Robotics,0,1
Saudi Arabia,Facial Recognition,0,505
Senegal,Consumer goods,0,5
Senegal,Software,0,5
Senegal,Information Technology,0,5
Senegal,Data and analytics,0,5
Senegal,All,0,5
Senegal,General purpose,0,5
Seychelles,"Mobile, platforms & Internet services",0,35
Seychelles,Other,0,35
Slovakia,Robotics,0,0
Slovenia,Consumer goods,0,0
Slovenia,NLP,0,0
Slovenia,Media and Entertainment,0,0
Slovenia,"Sales, retail, commerce, marketing",0,0
Slovenia,Manufacturing,0,0
Slovenia,Professional services,0,0
South Africa,Telecommunications,0,1
South Africa,Computer Vision,0,53
Sweden,"Military, public safety and government",0,10
Switzerland,Facial Recognition,0,350
Taiwan,Facial Recognition,0,11
Thailand,Education,0,7
Thailand,Robotics,0,1
Thailand,NLP,0,1
Thailand,Media and Entertainment,0,8
Trinidad and Tobago,All,0,0
Trinidad and Tobago,Consumer goods,0,0
Trinidad and Tobago,Data and analytics,0,0
Trinidad and Tobago,Hardware,0,0
Trinidad and Tobago,Software,0,0
Trinidad and Tobago,General purpose,0,0
Tunisia,Computer Vision,0,0
Tunisia,Manufacturing,0,0
Tunisia,Sports,0,0
Ukraine,Simulation,0,0
Ukraine,Semiconductor,0,0
Ukraine,NLP,0,0
Ukraine,Computer Vision,0,0
Uruguay,Computer Vision,0,0
Uruguay,Other,0,100
Uruguay,Media and Entertainment,0,0
Uruguay,NLP,0,0
Venezuela,General purpose,0,0
Venezuela,NLP,0,0
Vietnam,Agriculture,0,2
Vietnam,Computer Vision,0,3
Algeria,All,0,0
Algeria,Agriculture,0,0
Algeria,Information Technology,0,0
Algeria,Data and analytics,0,0
Algeria,General purpose,0,0
Algeria,Other,0,0
Algeria,Software,0,0
Argentina,Manufacturing,0,0
Argentina,Transportation,0,0
Argentina,Computer Vision,0,0
Argentina,Navigation and mapping,0,0
Argentina,Media and Entertainment,0,0
Argentina,"Sales, retail, commerce, marketing",0,0
Argentina,Community and Lifestyle,0,2
Armenia,Other,0,0
Armenia,Professional services,0,0
Armenia,Finance,0,0
Azerbaijan,All,0,0
Azerbaijan,Education,0,0
Azerbaijan,Information Technology,0,0
Azerbaijan,Data and analytics,0,0
Azerbaijan,Professional services,0,0
Azerbaijan,"Mobile, platforms & Internet services",0,0
Azerbaijan,General purpose,0,0
Azerbaijan,Simulation,0,0
Azerbaijan,Software,0,0
Bahrain,"Sales, retail, commerce, marketing",0,0
Bahrain,All,0,194
Bahrain,"Mobile, platforms & Internet services",0,0
Bahrain,Transportation,0,0
Bahrain,Data and analytics,0,194
Bahrain,Hardware,0,0
Bahrain,Software,0,190
Bahrain,General purpose,0,194
Bangladesh,"Military, public safety and government",0,0
Bangladesh,Transportation,0,4
Bangladesh,Agriculture,0,0
Bangladesh,Computer Vision,0,0
Bangladesh,Hardware,0,0
Bangladesh,Community and Lifestyle,0,0
Bangladesh,Information Technology,0,0
Bangladesh,Healthcare and Life Sciences,0,0
Belgium,Sports,0,0
Belize,Healthcare and Life Sciences,0,10
Belize,"Mobile, platforms & Internet services",0,10
Bosnia and Herzegovina,General purpose,0,0
Bosnia and Herzegovina,"Sales, retail, commerce, marketing",0,0
Bosnia and Herzegovina,"Mobile, platforms & Internet services",0,0
Bosnia and Herzegovina,Information Technology,0,0
Bosnia and Herzegovina,Finance,0,0
Bosnia and Herzegovina,Other,0,0
Bosnia and Herzegovina,Transportation,0,0
Bosnia and Herzegovina,Data and analytics,0,0
Bosnia and Herzegovina,All,0,1
Bosnia and Herzegovina,Software,0,0
Brazil,Facial Recognition,0,22
Bulgaria,Sports,0,0
Bulgaria,Community and Lifestyle,0,9
Bulgaria,Hardware,0,0
Bulgaria,Education,0,0
Bulgaria,Computer Vision,0,1
Bulgaria,Real estate,0,0
Bulgaria,Manufacturing,0,0
Bulgaria,Lending and Investments,0,0
Burkina Faso,Education,0,0
Burkina Faso,"Sales, retail, commerce, marketing",0,0
Burkina Faso,Lending and Investments,0,0
Burkina Faso,Finance,0,0
Burkina Faso,All,0,0
Burkina Faso,Transportation,0,0
Cambodia,"Sales, retail, commerce, marketing",0,0
Cambodia,Software,0,0
Cambodia,Data and analytics,0,0
Cambodia,Finance,0,0
Cambodia,Lending and Investments,0,0
Cambodia,All,0,0
Cambodia,NLP,0,0
Canada,Facial Recognition,0,0
Chile,Media and Entertainment,0,1
Chile,Computer Vision,0,0
Chile,Robotics,0,1
Chile,Navigation and mapping,0,0
Chile,Cyber Security,0,0
Chile,Privacy and Security,0,0
Colombia,Sports,0,0
Colombia,Community and Lifestyle,0,5
Colombia,Agriculture,0,0
Colombia,Real estate,0,0
Colombia,Computer Vision,0,0
Costa Rica,Education,0,0
Costa Rica,Hardware,0,0
Croatia,Hardware,0,1
Croatia,Sports,0,0
Croatia,Real estate,0,359
Croatia,Lending and Investments,0,0
Croatia,NLP,0,0
Croatia,Finance,0,168
Croatia,Robotics,0,0
Croatia,Healthcare and Life Sciences,0,0
Cyprus,Professional services,0,0
Czechia,Biotechnology,0,0
Côte d'Ivoire,Data and analytics,0,0
Côte d'Ivoire,Privacy and Security,0,0
Côte d'Ivoire,Healthcare and Life Sciences,0,0
Côte d'Ivoire,Software,0,0
Côte d'Ivoire,Information Technology,0,0
Côte d'Ivoire,General purpose,0,0
Denmark,Semiconductor,0,0
Dominican Republic,Software,0,0
Dominican Republic,NLP,0,0
Dominican Republic,General purpose,0,0
Dominican Republic,Information Technology,0,0
Dominican Republic,Professional services,0,0
Dominican Republic,Finance,0,0
Dominican Republic,Data and analytics,0,0
Ecuador,Professional services,0,0
Ecuador,Media and Entertainment,0,0
Ecuador,Other,0,0
Ecuador,Information Technology,0,0
Ecuador,Manufacturing,0,0
Ecuador,Transportation,0,0
Ecuador,Software,0,0
Ecuador,"Sales, retail, commerce, marketing",0,0
Ecuador,All,0,0
Ecuador,"Mobile, platforms & Internet services",0,0
Egypt,Agriculture,0,1
Egypt,Energy and natural resources,0,0
Egypt,Media and Entertainment,0,0
Egypt,NLP,0,0
Egypt,Sports,0,0
Egypt,Robotics,0,2
Egypt,Real estate,0,3
Egypt,Lending and Investments,0,0
El Salvador,Finance,0,0
Estonia,Biotechnology,0,2
Estonia,Speech Recognition,0,1
Estonia,Lending and Investments,0,1
Finland,Community and Lifestyle,0,0
Finland,Speech Recognition,0,0
Finland,Simulation,0,0
Finland,Robotics,0,78
Georgia,Information Technology,0,0
Georgia,Hardware,0,0
Georgia,Consumer goods,0,0
Georgia,Media and Entertainment,0,0
Georgia,"Mobile, platforms & Internet services",0,1
Ghana,Consumer goods,0,1
Ghana,"Mobile, platforms & Internet services",0,17
Ghana,Education,0,3
Ghana,Energy and natural resources,0,0
Ghana,Transportation,0,0
Ghana,Information Technology,0,0
Ghana,Hardware,0,1
Ghana,"Sales, retail, commerce, marketing",0,2
Ghana,Other,0,6
Greece,Community and Lifestyle,0,0
Greece,Professional services,0,0
Greece,Healthcare and Life Sciences,0,3
Greece,Finance,0,50
Greece,Consumer goods,0,53
Honduras,Media and Entertainment,0,0
Honduras,Data and analytics,0,0
Honduras,"Mobile, platforms & Internet services",0,0
Honduras,General purpose,0,0
Honduras,Software,0,0
Hungary,Energy and natural resources,0,0
Hungary,Finance,0,0
Iceland,Energy and natural resources,0,1
Iceland,Transportation,0,4
Iceland,"Military, public safety and government",0,4
Iceland,Agriculture,0,1
India,Facial Recognition,0,4
Indonesia,Computer Vision,0,6
Indonesia,Navigation and mapping,0,0
Iran,Information Technology,0,0
Iran,Software,0,0
Iran,General purpose,0,0
Iran,Other,0,0
Iran,All,0,0
Iran,Data and analytics,0,0
Iraq,Software,0,0
Iraq,All,0,0
Iraq,Education,0,0
Jamaica,Lending and Investments,0,0
Jamaica,Other,0,0
Jamaica,Finance,0,0
Jamaica,All,0,0
Japan,Speech Recognition,0,1
Jordan,Information Technology,0,1
Jordan,Telecommunications,0,0
Jordan,Finance,0,0
Jordan,Lending and Investments,0,0
Jordan,Other,0,0
Jordan,Media and Entertainment,0,1
Jordan,"Mobile, platforms & Internet services",0,0
Kazakhstan,Media and Entertainment,0,1
Kazakhstan,"Sales, retail, commerce, marketing",0,1
Kazakhstan,Education,0,0
Kazakhstan,Other,0,0
Kazakhstan,Lending and Investments,0,0
Kazakhstan,Agriculture,0,0
Kenya,Professional services,0,0
Kenya,NLP,0,1
Kenya,Media and Entertainment,0,0
Kenya,Consumer goods,0,0
Kenya,Hardware,0,3
Kenya,Telecommunications,0,4
Kenya,Energy and natural resources,0,0
Kenya,Real estate,0,0
Latvia,Real estate,0,0
Latvia,Energy and natural resources,0,0
Lebanon,"Mobile, platforms & Internet services",0,0
Lebanon,NLP,0,0
Lebanon,Media and Entertainment,0,0
Lebanon,Finance,0,0
Lebanon,"Sales, retail, commerce, marketing",0,0
Lebanon,Education,0,0
Lithuania,Sports,0,0
Lithuania,Cyber Security,0,1
Lithuania,Speech Recognition,0,0
Lithuania,Real estate,0,3
Lithuania,"Military, public safety and government",0,0
Luxembourg,NLP,0,0
Luxembourg,Facial Recognition,0,0
Luxembourg,Energy and natural resources,0,0
Luxembourg,Manufacturing,0,0
Luxembourg,Healthcare and Life Sciences,0,0
Malaysia,Speech Recognition,0,0
Malaysia,Education,0,6
Malaysia,Biotechnology,0,0
Malaysia,Privacy and Security,0,0
Malta,Other,0,4
Malta,Professional services,0,4
Malta,Data and analytics,0,5441
Malta,General purpose,0,5441
Mauritius,Information Technology,0,51
Mauritius,"Sales, retail, commerce, marketing",0,1
Mauritius,Education,0,1
Mexico,Agriculture,0,0
Mexico,Robotics,0,2
Mexico,Community and Lifestyle,0,0
Mexico,Sports,0,0
Mexico,"Military, public safety and government",0,4
Mexico,Energy and natural resources,0,0
Mongolia,General purpose,0,0
Mongolia,"Mobile, platforms & Internet services",0,0
Mongolia,NLP,0,0
Mongolia,Education,0,0
Mongolia,Healthcare and Life Sciences,0,0
Mongolia,Information Technology,0,0
Mongolia,Other,0,0
Mongolia,Finance,0,0
Morocco,Software,0,2
Morocco,Transportation,0,0
Morocco,Healthcare and Life Sciences,0,0
Morocco,Data and analytics,0,1
Nigeria,Professional services,0,1
Nigeria,NLP,0,0
Nigeria,Agriculture,0,4
Nigeria,Community and Lifestyle,0,0
Nigeria,Other,0,1
Nigeria,Consumer goods,0,3
Nigeria,Healthcare and Life Sciences,0,3
Nigeria,Telecommunications,0,0
Nigeria,Transportation,0,1
North Macedonia,Education,0,0
North Macedonia,NLP,0,0
North Macedonia,"Sales, retail, commerce, marketing",0,0
North Macedonia,Media and Entertainment,0,0
Oman,General purpose,0,0
Pakistan,Community and Lifestyle,0,1
Pakistan,"Mobile, platforms & Internet services",0,3
Pakistan,Healthcare and Life Sciences,0,2
Pakistan,Professional services,0,0
Pakistan,Other,0,0
Pakistan,Transportation,0,3
Pakistan,Computer Vision,0,0
Panama,Gaming,0,0
Panama,"Sales, retail, commerce, marketing",0,0
Panama,Media and Entertainment,0,0
Paraguay,Software,0,0
Paraguay,All,0,0
Paraguay,Data and analytics,0,0
Paraguay,Agriculture,0,0
Paraguay,General purpose,0,0
Peru,Media and Entertainment,0,1
Peru,Hardware,0,1
Peru,Transportation,0,0
Peru,Biotechnology,0,0
Peru,Computer Vision,0,0
Peru,"Sales, retail, commerce, marketing",0,0
Peru,Healthcare and Life Sciences,0,1
Peru,"Mobile, platforms & Internet services",0,3
Peru,Professional services,0,0
Peru,Information Technology,0,3
Peru,Real estate,0,0
Peru,Robotics,0,0
Philippines,Privacy and Security,0,0
Philippines,Hardware,0,0
Philippines,Real estate,0,0
Philippines,"Sales, retail, commerce, marketing",0,0
Philippines,Robotics,0,0
Philippines,Computer Vision,0,0
Philippines,Healthcare and Life Sciences,0,0
Poland,Facial Recognition,0,0
Poland,Lending and Investments,0,18
Portugal,Robotics,0,6
Portugal,Telecommunications,0,0
Portugal,Speech Recognition,0,2
Portugal,Agriculture,0,0
Qatar,Hardware,0,1
Qatar,NLP,0,0
Qatar,Information Technology,0,1
Qatar,Robotics,0,0
Romania,Computer Vision,0,0
Romania,NLP,0,0
Romania,Navigation and mapping,0,0
Romania,Manufacturing,0,0
Romania,Transportation,0,0
Russia,Biotechnology,0,1
Russia,Privacy and Security,0,0
Russia,Sports,0,1
Russia,Telecommunications,0,0
Saint Kitts and Nevis,Consumer goods,0,0
Saint Kitts and Nevis,Gaming,0,0
Saint Kitts and Nevis,Media and Entertainment,0,0
Saint Kitts and Nevis,Hardware,0,0
Serbia,Navigation and mapping,0,0
Serbia,Information Technology,0,44
Serbia,Speech Recognition,0,0
Serbia,Professional services,0,0
Serbia,Finance,0,0
Serbia,NLP,0,0
Serbia,Privacy and Security,0,0
Seychelles,Media and Entertainment,0,0
Seychelles,Gaming,0,0
Slovakia,Community and Lifestyle,0,0
Slovakia,Real estate,0,1
Slovakia,Simulation,0,0
Slovakia,Education,0,1
Slovakia,Biotechnology,0,1
Slovakia,NLP,0,1
Slovenia,Information Technology,0,1
Slovenia,Other,0,1
Slovenia,Biotechnology,0,0
Slovenia,Privacy and Security,0,0
Slovenia,Transportation,0,1
Slovenia,Finance,0,0
Slovenia,Simulation,0,1
South Africa,"Military, public safety and government",0,1
South Africa,Media and Entertainment,0,1
South Africa,Energy and natural resources,0,123
South Africa,Privacy and Security,0,53
South Korea,Speech Recognition,0,0
South Korea,Simulation,0,3
Spain,Facial Recognition,0,21
Sri Lanka,Agriculture,0,0
Sri Lanka,Community and Lifestyle,0,0
Sri Lanka,Telecommunications,0,0
Sri Lanka,Biotechnology,0,0
Sri Lanka,Finance,0,1
Sri Lanka,Energy and natural resources,0,0
Sri Lanka,Computer Vision,0,0
Sweden,Telecommunications,0,0
Switzerland,Sports,0,24
Taiwan,Speech Recognition,0,0
Taiwan,Gaming,0,10
Taiwan,Telecommunications,0,14
Taiwan,Lending and Investments,0,14
Tanzania,Healthcare and Life Sciences,0,0
Tanzania,Software,0,0
Tanzania,"Sales, retail, commerce, marketing",0,0
Tanzania,General purpose,0,0
Tanzania,Education,0,0
Tanzania,All,0,1
Tanzania,Data and analytics,0,0
Tanzania,"Mobile, platforms & Internet services",0,0
Thailand,Energy and natural resources,0,0
Thailand,"Sales, retail, commerce, marketing",0,17
Thailand,Real estate,0,1
Thailand,Professional services,0,3
Thailand,"Mobile, platforms & Internet services",0,3
Thailand,Lending and Investments,0,0
Tunisia,Agriculture,0,0
Tunisia,Other,0,0
Tunisia,Privacy and Security,0,0
Tunisia,Education,0,0
Tunisia,Community and Lifestyle,0,0
Tunisia,Navigation and mapping,0,0
Tunisia,NLP,0,0
Tunisia,Healthcare and Life Sciences,0,1
Tunisia,Transportation,0,0
Tunisia,Professional services,0,1
Tunisia,Finance,0,0
Tunisia,Energy and natural resources,0,0
Turkey,Real estate,0,1
Turkey,Simulation,0,5
Uganda,Information Technology,0,0
Uganda,"Mobile, platforms & Internet services",0,0
Uganda,Agriculture,0,0
Uganda,Software,0,0
Uganda,Data and analytics,0,0
Uganda,General purpose,0,0
Uganda,Other,0,0
Uganda,Finance,0,0
Uganda,Healthcare and Life Sciences,0,0
Uganda,All,0,0
Ukraine,Agriculture,0,0
Ukraine,Consumer goods,0,2
Ukraine,Professional services,0,2
Ukraine,Education,0,0
Ukraine,Sports,0,0
Ukraine,Other,0,21
Ukraine,Healthcare and Life Sciences,0,0
Ukraine,Lending and Investments,0,0
Ukraine,Biotechnology,0,0
United Arab Emirates,Telecommunications,0,3
United Arab Emirates,Agriculture,0,0
United Arab Emirates,"Military, public safety and government",0,1
Uruguay,Consumer goods,0,0
Uruguay,Lending and Investments,0,100
Uruguay,Hardware,0,0
Uruguay,Community and Lifestyle,0,0
Uruguay,Finance,0,100
Uruguay,Professional services,0,101
Uruguay,"Mobile, platforms & Internet services",0,101
Uzbekistan,Software,0,0
Uzbekistan,General purpose,0,0
Uzbekistan,"Mobile, platforms & Internet services",0,0
Uzbekistan,Data and analytics,0,0
Uzbekistan,Transportation,0,0
Uzbekistan,"Sales, retail, commerce, marketing",0,0
Uzbekistan,Other,0,0
Vietnam,Healthcare and Life Sciences,0,2
Vietnam,Transportation,0,5
Vietnam,Sports,0,0
Vietnam,Media and Entertainment,0,1
Vietnam,Energy and natural resources,0,0
Vietnam,Community and Lifestyle,0,4
Vietnam,Consumer goods,0,11
Zambia,"Mobile, platforms & Internet services",0,0
Zambia,All,0,1
Zambia,General purpose,0,1
Zambia,Software,0,1
Zambia,Hardware,0,0
Zambia,Finance,0,0
Zambia,Agriculture,0,1
Zambia,Data and analytics,0,1
Zambia,Other,0,0
Zimbabwe,Healthcare and Life Sciences,0,0
Zimbabwe,Energy and natural resources,0,0
Argentina,Sports,1,1
Argentina,Robotics,1,1
Argentina,Agriculture,1,1
Argentina,Hardware,1,1
Argentina,Education,1,556
Austria,Community and Lifestyle,1,3
Austria,Sports,1,1
Austria,Cyber Security,1,1
Austria,Privacy and Security,1,344
Bangladesh,"Mobile, platforms & Internet services",1,7
Belarus,Computer Vision,1,3
Belarus,Hardware,1,5
Belarus,Software,1,6
Belarus,Data and analytics,1,8
Belarus,General purpose,1,6
Belgium,Speech Recognition,1,1
Belgium,Navigation and mapping,1,82
Botswana,Software,1,2
Botswana,General purpose,1,2
Botswana,Data and analytics,1,2
Botswana,Finance,1,2
Brazil,Gaming,1,4
Bulgaria,Privacy and Security,1,1
Bulgaria,Cyber Security,1,1
Bulgaria,Media and Entertainment,1,1
Chile,Consumer goods,1,74
Chile,Biotechnology,1,9
Chile,Gaming,1,1
Chile,Manufacturing,1,1
Colombia,Healthcare and Life Sciences,1,1
Colombia,NLP,1,1
Colombia,Telecommunications,1,1
Costa Rica,"Mobile, platforms & Internet services",1,1
Costa Rica,Data and analytics,1,1
Costa Rica,Information Technology,1,1
Costa Rica,General purpose,1,1
Costa Rica,Finance,1,1
Costa Rica,Software,1,1
Costa Rica,Other,1,1
Croatia,Privacy and Security,1,1
Croatia,Manufacturing,1,1
Cyprus,Real estate,1,1
Czechia,Energy and natural resources,1,2
Czechia,"Military, public safety and government",1,1
Côte d'Ivoire,All,1,1
Côte d'Ivoire,Finance,1,1
Egypt,Manufacturing,1,1
Egypt,"Mobile, platforms & Internet services",1,3
Egypt,Healthcare and Life Sciences,1,4
Egypt,Transportation,1,2
El Salvador,"Sales, retail, commerce, marketing",1,1
El Salvador,Other,1,1
Estonia,Navigation and mapping,1,1
Finland,Facial Recognition,1,1
Finland,Privacy and Security,1,1
Finland,Gaming,1,497
France,Facial Recognition,1,1
France,Gaming,1,9
Georgia,Software,1,3
Georgia,Data and analytics,1,3
Georgia,General purpose,1,3
Georgia,"Sales, retail, commerce, marketing",1,1
Greece,Robotics,1,1
Greece,"Mobile, platforms & Internet services",1,119
Greece,Manufacturing,1,1
Honduras,All,1,1
Hungary,Manufacturing,1,1
Hungary,Telecommunications,1,1
Hungary,Gaming,1,2
Iceland,Biotechnology,1,1
Iceland,Computer Vision,1,1
Iceland,Gaming,1,1
Iceland,Education,1,1
Iceland,Community and Lifestyle,1,1
Iceland,NLP,1,1
Indonesia,Media and Entertainment,1,4
Indonesia,Consumer goods,1,3
Indonesia,Privacy and Security,1,8
Indonesia,Community and Lifestyle,1,3
Indonesia,Cyber Security,1,1
Indonesia,Education,1,9
Indonesia,Energy and natural resources,1,1
Indonesia,Hardware,1,237
Indonesia,Transportation,1,1
Ireland,Gaming,1,4
Israel,Simulation,1,1
Italy,Semiconductor,1,1
Italy,Lending and Investments,1,2
Japan,"Military, public safety and government",1,1
Jordan,All,1,3
Jordan,Software,1,3
Jordan,Community and Lifestyle,1,1
Jordan,Data and analytics,1,3
Jordan,General purpose,1,3
Kazakhstan,Professional services,1,1
Kazakhstan,Hardware,1,1
Kazakhstan,Finance,1,1
Kazakhstan,Healthcare and Life Sciences,1,1
Kazakhstan,Privacy and Security,1,1
Kenya,Community and Lifestyle,1,1
Kenya,Other,1,2
Kenya,Lending and Investments,1,1
Kenya,Education,1,6
Kenya,"Sales, retail, commerce, marketing",1,6
Latvia,"Mobile, platforms & Internet services",1,1
Latvia,"Sales, retail, commerce, marketing",1,1
Latvia,Manufacturing,1,1
Lebanon,Professional services,1,1
Lebanon,General purpose,1,1
Lebanon,Data and analytics,1,2
Lithuania,Media and Entertainment,1,6
Lithuania,Energy and natural resources,1,1
Lithuania,Consumer goods,1,3
Lithuania,Education,1,1
Lithuania,Professional services,1,1
Lithuania,Manufacturing,1,1
Lithuania,Gaming,1,4
Lithuania,Privacy and Security,1,1
Luxembourg,Other,1,1
Luxembourg,Sports,1,1
Malta,Hardware,1,1
Malta,"Sales, retail, commerce, marketing",1,1
Malta,"Mobile, platforms & Internet services",1,1
Malta,Software,1,5442
Malta,Information Technology,1,77
Malta,Finance,1,4
Mexico,Manufacturing,1,1
Mexico,Navigation and mapping,1,1
Mexico,Biotechnology,1,2
Mexico,Media and Entertainment,1,1
Mexico,Professional services,1,142
Mongolia,All,1,1
Mongolia,Software,1,1
Mongolia,Data and analytics,1,1
Morocco,All,1,4
Morocco,General purpose,1,3
New Zealand,Sports,1,36
New Zealand,Telecommunications,1,1
New Zealand,Real estate,1,185
New Zealand,Agriculture,1,2
Nigeria,Energy and natural resources,1,1
Nigeria,Education,1,3
Nigeria,Sports,1,1
North Macedonia,General purpose,1,1
North Macedonia,Information Technology,1,1
North Macedonia,"Mobile, platforms & Internet services",1,1
North Macedonia,Data and analytics,1,1
North Macedonia,Software,1,1
North Macedonia,All,1,1
Norway,Gaming,1,1
Norway,"Military, public safety and government",1,1
Oman,"Mobile, platforms & Internet services",1,1
Oman,Finance,1,1
Oman,"Sales, retail, commerce, marketing",1,1
Oman,Other,1,1
Oman,Data and analytics,1,1
Oman,Education,1,1
Pakistan,Education,1,1
Pakistan,Hardware,1,1
Peru,Agriculture,1,1
Philippines,Energy and natural resources,1,1
Philippines,Professional services,1,3
Poland,Simulation,1,2
Poland,Agriculture,1,7
Poland,Media and Entertainment,1,3
Poland,Navigation and mapping,1,8
Poland,Speech Recognition,1,1
Portugal,Education,1,3
Portugal,Lending and Investments,1,1
Romania,Community and Lifestyle,1,2
Romania,Gaming,1,2
Romania,Telecommunications,1,1
Romania,Sports,1,1
Romania,Speech Recognition,1,3
Russia,Speech Recognition,1,1
Russia,NLP,1,1
Russia,Real estate,1,1
Russia,Consumer goods,1,1
Russia,Robotics,1,4
Russia,Media and Entertainment,1,19
Russia,Professional services,1,2
Russia,Lending and Investments,1,1
Saint Kitts and Nevis,General purpose,1,1
Saint Kitts and Nevis,Data and analytics,1,1
Saint Kitts and Nevis,"Sales, retail, commerce, marketing",1,1
Saint Kitts and Nevis,Software,1,1
Saint Kitts and Nevis,Other,1,1
Saudi Arabia,"Military, public safety and government",1,1
Saudi Arabia,Gaming,1,10
Saudi Arabia,Navigation and mapping,1,16
Serbia,Agriculture,1,1
Serbia,Computer Vision,1,1
Seychelles,Information Technology,1,1
Seychelles,Lending and Investments,1,1
Seychelles,Privacy and Security,1,1
Slovakia,Media and Entertainment,1,1
Slovakia,Semiconductor,1,1
Slovakia,Healthcare and Life Sciences,1,1
South Africa,NLP,1,202
